id,question,useRAG,dataset,char_count,digit_char_count,has_quote,starts_with_why,starts_with_how,starts_with_what,starts_with_who,starts_with_when,starts_with_where,starts_with_which,is_definition,is_yesno,is_comparison,word_count,number_token_count,verb_count,propn_count,noun_chunk_count,entity_count,person_count,org_gpe_loc_count,date_time_count,cardinal_count,has_person_entity,has_date_entity,has_number_entity
tc_759,"""In which movie did Garbo say, """"I want to be alone"""".""",1,trivia,55,0,1,0,0,0,0,0,0,0,0,0,0,19,0,2,1,3,1,1,0,0,0,1,0,0
tc_783,What is Osbert Lancaster best known for producing?,1,trivia,50,0,0,0,0,1,0,0,0,0,1,0,0,9,0,2,2,2,1,1,0,0,0,1,0,0
tc_812,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,1,trivia,84,0,0,0,0,0,1,0,0,0,0,0,0,13,1,3,3,4,3,1,0,0,1,1,0,1
tc_827,Who was the first US-born winner of golf's British Open?,1,trivia,56,0,1,0,0,0,1,0,0,0,0,0,0,14,1,1,3,3,3,0,1,0,1,0,0,1
tc_841,In which country is the Sky Train Rail bridge?,1,trivia,46,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,2,1,0,1,0,0,0,0,0
tc_847,What was the Paramount Film Company originally called?,1,trivia,54,0,0,0,0,1,0,0,0,0,1,0,0,9,0,1,3,2,1,0,1,0,0,0,0,0
tc_866,Who was the first person after Scott to reach the South Pole overland?,1,trivia,70,0,0,0,0,0,1,0,0,0,0,0,0,14,1,1,3,4,3,1,1,0,1,1,0,1
tc_875,Which journalist first told the world about the My Lai massacre?,1,trivia,64,0,0,0,0,0,0,0,0,1,0,0,0,12,1,1,1,3,2,1,0,0,1,1,0,1
tc_881,What is the name of Terence and Shirley Conran's dress designer son?,1,trivia,68,0,1,0,0,1,0,0,0,0,1,0,0,14,0,0,3,3,2,1,1,0,0,1,0,0
tc_886,Which drink did The Spice Girls promote?,0,trivia,40,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,2,2,1,0,0,0,0,0,0,0
tc_888,Who was the youngest brother in the Beach Boys?,1,trivia,47,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,2,3,0,0,0,0,0,0,0,0
tc_905,Who first hosted Family Feud?,1,trivia,29,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,2,2,2,1,0,0,1,1,0,1
tc_935,What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,trivia,58,0,1,0,0,1,0,0,0,0,0,0,0,13,0,1,5,4,3,2,1,0,0,1,0,0
tc_938,Who or what was Gentle Ben in the 60s TV series?,1,trivia,48,2,0,0,0,0,1,0,0,0,0,0,1,12,0,0,2,4,2,1,0,1,0,1,1,0
tc_945,Which 70s show was based on the British show Till Death Us Do Part?,1,trivia,67,2,0,0,0,0,0,0,0,1,0,0,0,15,0,3,3,3,2,0,1,1,0,0,1,0
tc_954,On what date in 1969 did Neil Armstrong first set foot on the Moon?,0,trivia,67,4,0,0,0,0,0,0,0,0,0,0,0,15,2,1,3,4,4,2,0,1,1,1,1,1
tc_955,Bandar Seri Begawan International airport is in which country?,0,trivia,62,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,2,2,0,2,0,0,0,0,0
tc_962,What was the profession of Paul Strand (1890 - 1976)?,1,trivia,53,8,0,0,0,1,0,0,0,0,1,0,0,13,2,0,2,3,2,1,0,1,0,1,1,0
tc_1004,Who had a 60s No 1 with Downtown?,0,trivia,33,3,0,0,0,0,1,0,0,0,0,0,0,9,1,1,0,3,1,0,0,1,0,0,1,0
tc_1007,"Who was born first, Kiefer Sutherland or Christian Slater?",0,trivia,58,0,0,0,0,0,1,0,0,0,0,0,1,11,1,1,4,3,3,2,0,0,1,1,0,1
tc_1008,"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?",1,trivia,76,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,4,2,3,1,1,0,1,1,0,1
tc_1009,Who was the Georgia Peach?,0,trivia,26,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,2,1,0,1,0,0,0,0,0
tc_1020,Who set fire to his guitar at the Monterey Pop festival in 19676?,1,trivia,65,5,0,0,0,0,1,0,0,0,0,0,0,14,1,1,2,4,1,0,0,1,0,0,1,0
tc_1023,Della Street was whose secretary?,1,trivia,33,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,1,0,1,0,0,0,0,0
tc_1028,"In music, who was Sweet and Innocent and Too Young?",0,trivia,51,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,5,1,1,0,0,0,1,0,0
tc_1029,Who is featured on Puff Daddy's Can't Hold Me Down?,1,trivia,51,0,1,0,0,0,1,0,0,0,0,0,0,13,0,2,2,3,1,0,0,0,0,0,0,0
tc_1068,What had Edmond Hillary worked at before taking up mountain climbing?,1,trivia,69,0,0,0,0,1,0,0,0,0,0,0,0,12,0,2,2,3,1,1,0,0,0,1,0,0
tc_1069,In which American state is the Isabella Stewart Gardner Museum?,1,trivia,63,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,3,2,0,2,0,0,0,0,0
tc_1070,Benina international airport is in which country?,0,trivia,49,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2,1,0,1,0,0,0,0,0
tc_1098,Beloved in 1999 was whose first movie since The Color Purple in 1985?,1,trivia,69,8,0,0,0,0,0,0,0,0,0,0,0,14,3,1,2,2,4,0,0,2,1,0,1,1
tc_1114,Which Star Trek star directed Three Men and a Baby?,1,trivia,51,0,0,0,0,0,0,0,0,1,0,0,0,11,1,1,3,3,2,0,2,0,0,0,0,0
tc_1115,Which sitcom star appeared on the big screening The Object of My Affection?,1,trivia,75,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,1,4,1,0,0,0,0,0,0,0
tc_1120,"""Which character did Julia """"Roberts play in Steven Spielberg's Hook?""",1,trivia,70,0,1,0,0,0,0,0,0,1,0,0,0,16,0,2,4,4,3,3,0,0,0,1,0,0
tc_1123,Which US president did Anthony Hopkins play in a film whose title was simply his name?,1,trivia,86,0,0,0,0,0,0,0,0,1,0,0,0,17,0,2,3,5,2,1,1,0,0,1,0,0
tc_1124,Which movie was a biopic about the life of David Helfgott?,1,trivia,58,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,2,4,1,1,0,0,0,1,0,0
tc_1128,Which film director guested as the FBI Director in The Silence of the Lambs?,1,trivia,76,0,0,0,0,0,0,0,0,1,0,0,0,15,0,1,3,4,2,1,1,0,0,1,0,0
tc_1131,In which sci fi classic did the space ship Nostromo first appear?,0,trivia,65,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,4,2,0,2,0,0,0,0,0
tc_1152,Nigel Hawthorne was Oscar nominated for The Madness of which King?,1,trivia,66,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,5,4,3,2,0,0,0,1,0,0
tc_1156,Which Swedish actress won the Best Supporting Actress Oscar for Murder on the Orient Express?,1,trivia,93,0,0,0,0,0,0,0,0,1,0,0,0,16,0,2,5,4,2,0,2,0,0,0,0,0
tc_1176,Which Oscar-nominated film had You Sexy Thing as its theme song?,1,trivia,64,0,0,0,0,0,0,0,0,1,0,0,0,14,0,2,2,3,1,0,0,0,0,0,0,0
tc_1179,Which Joan's career revived in Whatever Happened to Baby Jane?,1,trivia,62,0,1,0,0,0,0,0,0,1,0,0,0,12,0,2,3,3,2,2,0,0,0,1,0,0
tc_1181,Which much-loved actor won the Best Actor Oscar for The Philadelphia Story?,1,trivia,75,0,0,0,0,0,0,0,0,1,0,0,0,15,0,2,5,3,1,0,0,0,0,0,0,0
tc_1183,Which legendary dancer was Oscar-nominated for The Towering Inferno?,1,trivia,68,0,0,0,0,0,0,0,0,1,0,0,0,12,0,1,3,2,2,1,0,0,0,1,0,0
tc_1189,What was the name of the brothel in The Best Little Whorehouse in Texas?,1,trivia,72,0,0,0,0,1,0,0,0,0,1,0,0,15,0,0,4,5,1,0,1,0,0,0,0,0
tc_1210,Who was the male star of the movie The Man of La Mancha?,0,trivia,56,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,3,5,1,0,0,0,0,0,0,0
tc_1243,What relation is Joey Richardson to Vanessa Redgrave?,1,trivia,53,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,4,3,2,2,0,0,0,1,0,0
tc_1250,Melanie Molitor is the mom of which tennis world NO 1?,1,trivia,54,1,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2,4,1,1,0,0,0,1,0,0
tc_1254,Marc Dutroux hit the headlines over a 'house of horrors' in which country?,1,trivia,74,0,1,0,0,0,0,0,0,0,0,0,0,16,0,1,2,5,1,1,0,0,0,1,0,0
tc_1284,On which date in 1945 did Hitler take cyanide then shoot himself?,1,trivia,65,4,0,0,0,0,0,0,0,0,0,0,0,13,1,2,1,4,2,1,0,1,0,1,1,0
tc_1313,In which river is the Boulder Dam?,1,trivia,34,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,2,1,0,1,0,0,0,0,0
tc_1321,"Which sports event was first held at Worcester, Massachusetts in 1927?",1,trivia,70,4,0,0,0,0,0,0,0,1,0,0,0,13,2,1,2,3,4,0,2,1,1,0,1,1
tc_1323,In which European city is the Belvederen Gallery?,1,trivia,49,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,3,2,0,2,0,0,0,0,0
tc_1324,How old was Woody Herman when he founded his own orchestra?,1,trivia,59,0,0,0,1,0,0,0,0,0,0,0,0,12,0,1,2,3,1,1,0,0,0,1,0,0
tc_1328,For which movie did Katharine Hepburn win her second Oscar?,1,trivia,59,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,3,3,2,2,0,0,0,1,0,0
tc_1331,Who had a 60s No 1 hit with This Diamond Ring?,1,trivia,46,3,0,0,0,0,1,0,0,0,0,0,0,12,1,2,2,3,2,1,0,1,0,1,1,0
tc_1333,The world was first aware of the Chernobyl disaster after detectors were triggered at a nuclear plant in which country?,1,trivia,119,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,1,5,2,0,1,0,1,0,0,1
tc_1340,In which country was the first permanent bungee jumping site situated?,1,trivia,70,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,2,1,0,0,0,1,0,0,1
tc_1341,Who succeeded Brezhnev as Soviet premier?,1,trivia,41,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,3,2,1,1,0,0,1,0,0
tc_1348,In the late 60s Owen Finlay MacLaren pioneered what useful item for parents of small chldren?,1,trivia,93,2,0,0,0,0,0,0,0,0,0,0,0,17,0,1,3,4,2,1,0,1,0,1,1,0
tc_1365,In which city's shipyard was Solidarity set up?,1,trivia,47,0,1,0,0,0,0,0,0,0,0,0,0,10,0,1,1,3,1,0,1,0,0,0,0,0
tc_1387,Which female singer was born on exactly the same day as impressionist Rich Little?,1,trivia,82,0,0,0,0,0,0,0,0,1,0,0,1,15,0,1,2,3,1,1,0,0,0,1,0,0
tc_1421,What is Harrison Ford's real name?,0,trivia,34,0,1,0,0,1,0,0,0,0,1,0,0,8,0,0,2,2,1,1,0,0,0,1,0,0
tc_1442,Who's home runs record did Mark McGwire break in the 1998 season?,1,trivia,65,4,1,0,0,0,0,0,0,0,0,0,0,14,1,1,2,4,2,1,0,1,0,1,1,0
tc_1456,Who won baseball's first World Series of the 80s?,1,trivia,49,2,1,0,0,0,1,0,0,0,0,0,0,11,1,1,2,3,2,0,0,1,0,0,1,0
tc_1468,What was Pete Sampras seeded when he won his first US Open?,1,trivia,59,0,0,0,0,1,0,0,0,0,1,0,0,13,1,2,4,4,2,1,0,0,0,1,0,0
tc_1484,"""Which boxer famously said,"""" If I can't beat this bum take my name off the record books?""""""",1,trivia,92,0,1,0,0,0,0,0,0,1,0,0,0,26,0,3,0,5,0,0,0,0,0,0,0,0
tc_1485,Where did Jonathan Edwards set his 1995 triple jump world record?,1,trivia,65,4,0,0,0,0,0,0,1,0,0,0,0,12,1,1,2,2,2,1,0,1,0,1,1,0
tc_1516,"In baseball, where do the Orioles come from?",0,trivia,44,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,2,1,0,1,0,0,0,0,0
tc_1535,The Naismith Award is presented in which sport?,0,trivia,47,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,2,1,1,0,0,0,1,0,0
tc_1537,Which cartoon and film character is the nickname of super athlete Michael Johnson?,0,trivia,82,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,2,3,1,1,0,0,0,1,0,0
tc_1542,For which team did Babe Ruth blast his last Major League home run?,1,trivia,66,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,4,3,2,1,1,0,0,1,0,0
tc_1602,What was Warren Beatty's first movie?,1,trivia,37,0,1,0,0,1,0,0,0,0,1,0,0,8,1,0,2,2,2,1,0,0,1,1,0,1
tc_1606,"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",1,trivia,89,0,1,0,0,0,0,0,0,1,0,0,0,17,0,1,6,4,4,3,1,0,0,1,0,0
tc_1609,Mickey Braddock in the 50s series Circus Boy found fame with which surname in which pop band?,1,trivia,93,2,0,0,0,0,0,0,0,0,0,0,0,18,0,2,4,7,3,2,0,1,0,1,1,0
tc_1620,Which war veteran was Director of News & Special Events for ABC before find fame as a TV cop?,1,trivia,93,0,0,0,0,0,0,0,0,1,0,0,0,20,0,1,5,7,2,0,2,0,0,0,0,0
tc_1622,What US sitcom was the first exported to Britain?,1,trivia,49,0,0,0,0,1,0,0,0,0,0,0,0,10,1,1,2,2,3,0,2,0,1,0,0,1
tc_1623,In Hanna and Barbera's TV cartoons base on The Addams Family who was the voice of Gomez?,1,trivia,88,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,5,6,4,2,1,0,0,1,0,0
tc_1635,Who was the only female victim to be killed off in the opening credit sequence in Police Squad?,1,trivia,95,0,0,0,0,0,1,0,0,0,0,0,0,19,0,1,2,4,1,0,1,0,0,0,0,0
tc_1686,Which US president won the Nobel Peace Prize in 1920?,1,trivia,53,4,0,0,0,0,0,0,0,1,0,0,0,11,1,1,4,2,3,0,1,1,0,0,1,0
tc_1693,Who beat Tim Henman in his first Wimbledon singles semifinal?,1,trivia,61,0,0,0,0,0,1,0,0,0,0,0,0,11,1,2,3,3,3,1,0,0,1,1,0,1
tc_1699,What relation was Flo Jo to Jackie Joyner Kersee?,1,trivia,49,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,5,3,2,2,0,0,0,1,0,0
tc_1700,How long was swimmer Michelle Smith-de Bruin banned for attempting to manipulate a drugs test?,1,trivia,94,0,0,0,1,0,0,0,0,0,0,0,0,18,0,3,4,2,1,1,0,0,0,1,0,0
tc_1702,Yuan Yuan was caught carrying drugs for which Chinese team?,1,trivia,59,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,2,3,2,1,1,0,0,1,0,0
tc_1704,Which grand slam did Pete Sampras not win in the 20th century?,1,trivia,62,2,0,0,0,0,0,0,0,1,0,0,0,13,1,1,2,3,2,1,0,1,0,1,1,0
tc_1730,In which events did Gert Fredriksson win six Olympic gold medals?,1,trivia,65,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,2,4,2,1,0,0,1,1,0,1
tc_1735,"How many of his 45 races did Mike Hawthorn, a former Formula One motor racing world champion, win?",1,trivia,98,2,0,0,1,0,0,0,0,0,0,0,0,21,2,2,3,3,3,1,1,0,1,1,0,1
tc_1754,On the Internet what is Spam?,0,trivia,29,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,3,1,1,0,0,0,1,0,0
tc_1773,In which country did the Internet start?,0,trivia,40,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,0,0,0,0,0,0,0
tc_1798,In which year was the Juilliard School founded in New York?,1,trivia,59,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,4,3,3,0,2,1,0,0,1,0
tc_1816,"Who wrote My Life and Loves in 1926, originally banned in the US?",1,trivia,65,4,0,0,0,0,1,0,0,0,0,0,0,15,1,2,2,4,3,0,2,1,0,0,1,0
tc_1826,What was Blondie's last UK No 1 of the 80s?,1,trivia,43,3,1,0,0,1,0,0,0,0,1,0,0,12,1,0,2,3,3,1,1,1,0,1,1,0
tc_1858,"In baseball, where do the Royals come from?",0,trivia,43,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,2,0,0,0,0,0,0,0,0
tc_1859,What is the largest city in Ohio?,0,trivia,33,0,0,0,0,1,0,0,0,0,1,0,0,8,0,0,1,3,1,0,1,0,0,0,0,0
tc_1865,In which decade of the 20th century was Anne Bancroft born?,1,trivia,59,2,0,0,0,0,0,0,0,0,0,0,0,12,1,1,2,3,2,1,0,1,0,1,1,0
tc_1867,The Suez Canal connects the Mediterranean Sea to which other Sea?,0,trivia,65,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,5,3,3,0,3,0,0,0,0,0
tc_1888,Which rock star did Cindy Crawford name her first son after?,1,trivia,60,0,0,0,0,0,0,0,0,1,0,0,0,12,1,1,2,3,2,1,0,0,1,1,0,1
