question_id,fixed_correct,semantic_correct,fixed_num_chunks,semantic_num_chunks
sfq_20830,1,1,27,75
bt_1114,1,1,20,45
dpql_3726,1,1,13,45
sfq_11095,1,1,17,47
odql_8644,1,1,8,29
qg_3859,1,0,17,53
dpql_3151,1,1,10,26
sfq_3507,1,1,18,59
qw_11460,1,1,248,637
bb_3969,0,0,13,52
sfq_24697,1,1,12,13
odql_2789,0,0,39,104
sfq_14197,1,1,7,15
wh_1354,0,0,22,57
odql_2425,1,1,19,40
qw_1114,1,1,32,73
qz_4208,0,0,19,43
wh_2257,1,1,51,62
qg_1729,0,0,129,305
bb_9139,0,1,30,93
qw_16505,1,1,110,268
bb_3706,0,1,21,66
qb_388,1,1,54,136
wh_613,1,1,59,202
sfq_15658,1,1,11,37
odql_7598,1,1,63,193
bb_9114,1,1,7,13
wh_684,0,0,727,1701
tb_695,0,1,13,57
sfq_7683,0,0,349,1058
qw_14885,0,1,13,62
sfq_25624,1,1,13,22
sfq_3103,0,1,34,138
dpql_1059,1,1,77,280
bb_3384,1,1,44,85
qg_3192,1,1,11,33
wh_4325,0,1,18,49
qg_670,1,1,26,73
sfq_11477,0,1,23,90
bb_3197,0,0,209,505
sfq_17806,0,1,46,70
jp_3898,0,0,19,58
sfq_17779,1,0,19,50
qw_15697,0,0,24,47
bt_2875,0,0,227,587
odql_12841,0,0,122,336
dpql_590,1,1,50,120
sfq_8755,0,1,16,54
sfq_7286,0,1,57,169
qb_4780,1,1,8,17
qz_2968,1,1,41,157
qb_7289,0,0,325,816
dpql_2134,1,0,38,122
sfq_23082,1,0,152,447
qf_2374,1,1,86,219
odql_1772,1,0,23,66
qf_2226,0,1,9,38
sfq_19522,1,1,103,295
qz_6793,0,0,8,16
qw_12688,1,1,35,89
qw_12049,0,0,24,62
odql_11051,0,1,131,299
sfq_4286,0,0,17,36
sfq_10443,1,1,7,30
bb_954,1,1,23,71
sfq_13877,1,1,15,31
tc_1484,1,0,82,311
odql_7910,0,0,128,344
qb_8213,1,1,7,16
odql_2187,1,0,14,36
qf_3056,0,0,16,62
bt_779,0,0,101,892
sfq_24850,1,1,18,42
qf_1958,0,0,201,318
qg_4367,1,1,965,1436
bt_3186,0,0,15,36
sfq_80,1,1,22,76
dpql_2372,0,1,8,18
bt_1131,1,1,14,34
tc_245,0,0,39,101
odql_9352,1,1,8,19
sfq_7709,1,1,28,79
dpql_4551,1,1,7,17
sfq_8344,1,1,15,52
qb_6781,1,1,24,59
sfq_22709,1,1,10,30
bb_7263,1,1,8,17
qg_4575,0,0,58,235
odql_3929,1,1,12,33
odql_15032,0,0,315,687
qg_564,1,1,47,180
odql_8118,1,1,32,63
qw_10529,0,1,91,225
dpql_2821,1,1,14,34
sfq_11740,0,0,9,23
sfq_10796,1,1,8,34
tc_79,0,1,13,33
sfq_19855,0,0,40,106
qw_777,0,0,14,45
sfq_6944,0,0,12,21
tc_1921,0,1,10,19
bt_528,0,0,27,57
qw_7653,0,0,88,168
bb_8453,0,0,7,15
wh_3333,1,1,13,41
qz_4435,1,1,16,37
wh_3391,0,0,8,16
odql_11414,0,0,68,195
qf_2386,0,0,19,51
qb_3703,0,1,109,290
sfq_6599,1,1,18,38
qb_483,0,0,34,114
sfq_10968,0,1,10,6
qb_9727,0,0,17,46
qb_10151,1,1,19,45
tb_1041,1,1,153,366
sfq_4924,1,1,37,174
sfq_13222,0,0,19,58
dpql_3418,0,0,111,239
qg_2657,0,1,12,42
sfq_10360,0,1,9,23
sfq_20727,1,1,38,115
jp_3393,1,1,80,221
odql_11428,1,1,13,39
odql_5312,1,0,18,64
dpql_5807,0,0,8,30
bb_8661,0,0,305,639
odql_8823,1,1,7,12
odql_2344,0,1,208,45
sfq_483,0,0,17,19
sfq_9707,1,1,16,37
sfq_2362,1,1,7,24
qb_8992,0,1,22,63
wh_4346,1,1,698,1599
wh_2040,0,0,65,165
odql_7310,0,0,9,36
qw_4266,1,1,23,74
tc_1973,0,0,13,35
sfq_19116,0,0,28,75
sfq_14149,1,1,56,207
wh_2270,0,0,105,317
odql_3066,0,0,21,46
qf_3342,0,0,44,122
tc_841,1,1,9,32
qb_602,1,1,55,195
sfq_23841,0,0,116,175
qz_4925,1,1,7,21
odql_12518,0,0,890,1917
qb_470,1,1,12,31
odql_12487,1,1,18,47
qw_3080,1,1,12,39
sfq_24035,1,1,12,27
sfq_9310,0,0,235,632
wh_2977,1,0,57,140
bb_5291,0,1,380,843
tb_2225,0,0,164,528
wh_860,1,1,9,22
tb_543,0,0,1227,3410
dpql_127,1,1,20,41
sfq_16656,1,1,8,25
sfq_17255,0,0,8,14
sfq_4870,1,1,23,68
wh_3823,1,0,7,21
sfq_22127,1,1,76,189
jp_311,1,1,26,119
dpql_5159,1,1,72,209
qb_5298,1,1,37,39
qf_1271,1,1,13,29
jp_4314,1,1,10,30
qw_7129,1,1,12,24
tb_647,1,1,8,25
jp_683,1,1,15,61
sfq_4128,1,1,16,41
qz_4085,1,1,7,27
qb_5984,0,0,128,343
qz_5346,1,1,15,41
jp_159,1,1,10,38
qw_4300,1,1,52,97
qb_7186,1,1,19,53
bb_198,0,1,55,252
bt_2774,1,1,8,18
sfq_21478,0,1,127,75
odql_5215,1,1,53,164
qf_3274,0,0,18,44
dpql_753,1,1,17,58
odql_7794,0,1,139,261
dpql_4709,0,0,8,16
sfq_22602,0,1,10,44
odql_13669,0,0,17,50
bb_327,1,1,8,14
qb_1683,1,1,14,24
sfq_1112,1,0,57,159
sfq_13223,0,0,11,24
qf_535,1,1,9,2
qz_3433,1,1,18,69
sfq_12076,1,1,29,73
tc_1686,1,1,9,23
qg_1421,0,1,11,34
wh_2940,0,1,1225,2995
dpql_3496,1,1,49,105
sfq_21697,0,0,19,69
sfq_22585,1,1,17,46
sfq_5760,1,1,10,26
wh_724,1,1,10,27
odql_12351,0,1,45,166
sfq_24009,0,0,206,489
dpql_3194,1,1,68,245
odql_13538,0,0,691,2652
tc_165,1,1,11,37
qw_13962,0,0,44,100
tb_957,1,1,469,1013
sfq_2751,0,0,87,262
bb_5704,1,1,33,86
sfq_20803,0,0,19,44
sfq_14182,0,0,52,197
sfq_6730,1,1,28,45
dpql_2259,1,1,14,47
sfq_19662,1,0,22,131
bb_7054,0,0,120,395
wh_1312,0,0,1074,2673
odql_583,1,1,9,21
sfq_12404,0,0,127,75
sfq_20394,1,1,9,17
bb_8778,1,1,31,66
qz_4241,1,0,11,15
odql_9314,1,1,38,101
sfq_5249,0,0,105,313
sfq_7809,1,1,91,230
odql_1853,1,1,9,44
odql_4307,1,1,52,156
sfq_14172,1,1,32,90
sfq_8496,1,1,11,31
qb_2364,1,1,27,67
dpql_4841,1,0,213,539
tb_2218,1,1,11,43
sfq_23505,1,1,21,62
wh_2609,1,1,67,149
jp_232,1,1,16,47
qb_8840,1,1,40,157
odql_9500,0,0,30,89
qz_1800,0,0,45,119
qb_2476,1,1,10,17
qf_3390,0,0,353,907
sfq_9942,0,0,7,19
odql_12366,1,1,18,56
bb_3038,0,1,413,1352
dpql_6238,1,1,19,51
sfq_15254,1,0,57,108
wh_3053,1,1,12,47
sfq_16593,1,1,43,112
odql_10852,0,1,182,511
dpql_125,0,0,69,199
bb_7396,0,0,15,62
sfq_2864,1,1,14,44
sfq_11145,1,1,9,6
qb_1455,1,1,9,20
tc_1365,0,0,30,80
odql_10682,0,1,16,8
qb_6048,0,1,24,57
qb_1515,1,0,25,186
sfq_17107,0,1,25,81
sfq_8341,0,0,95,295
sfq_13260,1,1,67,174
sfq_22347,0,0,19,59
qw_6353,1,1,61,191
qf_3399,0,0,11,28
odql_14415,1,1,54,128
qw_9028,1,1,30,54
bb_5694,1,1,52,152
sfq_18683,0,0,10,16
bt_303,0,0,80,116
bb_7425,0,1,46,119
tc_935,0,0,16,48
bb_7375,0,0,15,62
qb_6395,0,0,7,29
dpql_424,1,1,8,10
qf_331,0,1,15,27
qb_8289,1,0,76,184
qb_6862,1,1,27,94
qf_1870,1,1,7,14
bb_4162,0,0,1006,2249
bb_5497,1,1,17,31
odql_8576,0,1,33,92
qb_6769,0,1,20,120
qf_704,0,1,9,19
odql_14683,1,1,30,101
qf_1622,1,1,23,60
qw_4882,0,0,755,1541
bb_9301,0,0,49,112
jp_3560,0,0,12,31
sfq_26140,0,0,7,26
bb_1115,0,1,20,29
odql_3292,0,0,10,18
tb_1972,0,0,258,722
sfq_2550,0,0,129,387
qf_2232,1,0,25,89
sfq_15313,1,1,16,40
tc_2218,0,0,23,75
qz_2841,1,1,13,29
sfq_7281,1,1,313,1438
tb_550,1,1,17,39
jp_1408,1,0,14,56
odql_14474,0,0,1250,3040
tc_2031,1,1,53,136
tc_149,0,0,51,169
sfq_17511,1,1,135,377
qg_327,1,0,12,21
qb_345,1,1,13,46
qw_145,1,1,20,56
odql_6232,0,0,57,204
sfq_13108,1,1,244,556
bt_1043,1,1,11,29
wh_1610,1,1,69,243
bb_4796,0,0,44,108
qw_7092,0,1,8,30
sfq_9841,1,0,122,292
bb_5384,0,0,463,1014
tc_518,0,0,11,22
odql_12535,0,0,974,2346
qz_1430,1,1,7,18
sfq_699,1,1,17,45
qw_5192,0,0,44,110
sfq_25948,1,1,8,23
qb_1541,1,0,11,36
bb_4287,0,1,2490,443
tc_1865,1,1,26,74
jp_2221,1,1,34,105
dpql_4816,0,0,72,224
bb_6297,0,0,31,135
odql_6732,0,1,14,7
sfq_9896,1,0,6,22
qf_1783,1,1,8,22
sfq_25185,0,0,41,113
odql_13430,1,1,8,14
dpql_2213,1,1,19,48
dpql_4664,0,0,244,801
qw_15362,1,1,46,143
jp_4308,1,1,19,53
tc_1938,1,1,10,24
dpql_4569,1,1,7,15
sfq_7459,1,1,225,540
qw_4504,0,0,9,40
bt_4154,0,0,20,57
qw_3671,1,1,187,489
qz_3557,0,0,12,32
dpql_4451,1,1,106,312
sfq_16634,0,0,10,34
bb_5329,1,1,622,1426
dpql_6224,0,1,25,39
bb_8564,1,1,136,281
qw_10892,0,1,11,25
qb_2019,1,1,7,15
qb_8586,0,0,17,36
qg_3190,1,1,12,31
qw_16469,0,0,514,1315
jp_304,1,0,19,51
qb_4152,1,1,38,106
dpql_6323,1,1,36,108
tc_1485,1,1,22,74
qb_4229,1,1,10,16
qw_8999,1,1,8,23
sfq_5126,1,1,13,32
qw_14100,0,1,23,48
dpql_6290,0,1,147,372
sfq_17048,1,1,12,28
qw_3718,0,0,625,1558
qw_8570,1,1,117,234
jp_3802,1,1,10,26
sfq_610,0,0,661,1646
dpql_210,0,0,60,203
bt_1484,1,1,19,45
qw_14739,0,0,701,1738
qw_6825,0,0,16,53
sfq_20563,0,0,59,147
dpql_5164,1,1,7,4
qg_2784,0,1,132,344
sfq_12465,1,1,16,51
qb_7330,0,0,14,37
sfq_9927,0,1,12,45
sfq_24341,0,1,11,27
dpql_4097,0,0,15,47
odql_12768,1,1,21,57
sfq_1300,1,1,18,61
qb_8101,0,1,15,36
odql_1127,0,0,589,174
jp_3431,1,1,16,44
qw_2759,0,0,87,329
qb_5371,1,1,21,51
dpql_5802,1,1,20,50
sfq_16951,0,0,10,27
odql_9657,0,0,25,48
qz_941,1,1,15,28
qw_13073,0,0,360,720
qw_14240,1,1,38,96
qg_953,1,1,7,19
qw_337,0,0,52,82
bb_1967,1,1,822,1621
qw_14764,0,1,351,818
sfq_20082,1,1,12,28
odql_12052,1,1,38,41
tb_1001,0,1,47,132
tc_1620,0,0,24,71
sfq_14502,1,1,11,17
qb_10180,1,1,129,351
